GeneID	logFC	logCPM	F	PValue	FDR	Accession	Isoform	E-value	ProteinN	GO_BP	GO_CC	GO_MF	GO	Status	Organism
TRINITY_DN274831_c0_g1	11.42433247	2.452097333	13.06930943	0.002132022	0.016414449	O61199	TRINITY_DN274831_c0_g1_i1	1.10E-95	"2-oxoglutarate dehydrogenase, mitochondrial (EC 1.2.4.2) (2-oxoglutarate dehydrogenase complex component E1) (OGDC-E1) (Alpha-ketoglutarate dehydrogenase)"	generation of precursor metabolites and energy [GO:0006091]; glycolytic process [GO:0006096]; tricarboxylic acid cycle [GO:0006099]	mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; oxoglutarate dehydrogenase complex [GO:0045252]	oxoglutarate dehydrogenase (succinyl-transferring) activity [GO:0004591]; thiamine pyrophosphate binding [GO:0030976]	GO:0004591; GO:0005739; GO:0005759; GO:0006091; GO:0006096; GO:0006099; GO:0030976; GO:0031966; GO:0045252	reviewed	Caenorhabditis elegans
TRINITY_DN274840_c0_g2	22.7587614	9.116857842	297.1060792	1.17E-14	1.91E-12	Q839B2	TRINITY_DN274840_c0_g2_i1	1.10E-40	Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8)	IMP salvage [GO:0032264]; purine ribonucleoside salvage [GO:0006166]	cytoplasm [GO:0005737]	guanine phosphoribosyltransferase activity [GO:0052657]; hypoxanthine phosphoribosyltransferase activity [GO:0004422]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	GO:0000166; GO:0004422; GO:0005737; GO:0006166; GO:0032264; GO:0046872; GO:0052657	reviewed	Enterococcus faecalis (strain ATCC 700802 / V583)
TRINITY_DN274865_c0_g1	-3.85471816	9.302476373	26.71314925	3.06E-05	0.000417181	O94673	TRINITY_DN274865_c0_g1_i1	3.00E-19	Uncharacterized membrane protein C776.05	phosphatidylcholine biosynthetic process [GO:0006656]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]	glycero-3-phosphocholine acyltransferase activity [GO:0106158]	GO:0000139; GO:0005783; GO:0005789; GO:0005794; GO:0006656; GO:0016021; GO:0106158	reviewed	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
TRINITY_DN276015_c0_g1	-7.327529925	6.265810664	27.45137675	2.57E-05	0.000353526	Q9SR06	TRINITY_DN276015_c0_g1_i1	1.80E-20	Protein CLP1 homolog (CLP-like protein 3) (Protein CLP-SIMILAR PROTEIN 3)	"flower development [GO:0009908]; mRNA polyadenylation [GO:0006378]; mRNA processing [GO:0006397]; phyllome development [GO:0048827]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]; vegetative to reproductive phase transition of meristem [GO:0010228]"	mRNA cleavage factor complex [GO:0005849]; nucleus [GO:0005634]	ATP binding [GO:0005524]	GO:0005524; GO:0005634; GO:0005849; GO:0006378; GO:0006388; GO:0006397; GO:0009908; GO:0010228; GO:0048827	reviewed	Arabidopsis thaliana (Mouse-ear cress)
TRINITY_DN276016_c0_g1	21.05887115	6.588178467	116.1232037	5.02E-09	1.34E-07	Q9SSF1	TRINITY_DN276016_c0_g1_i1	1.00E-22	Small nuclear ribonucleoprotein SmD1a (AtSmD1-a)	posttranscriptional gene silencing by RNA [GO:0035194]; spliceosomal snRNP assembly [GO:0000387]	catalytic step 2 spliceosome [GO:0071013]; commitment complex [GO:0000243]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleus [GO:0005634]; pICln-Sm protein complex [GO:0034715]; SMN-Sm protein complex [GO:0034719]; U12-type spliceosomal complex [GO:0005689]; U1 snRNP [GO:0005685]; U2 snRNP [GO:0005686]; U4 snRNP [GO:0005687]; U5 snRNP [GO:0005682]; vacuolar membrane [GO:0005774]	RNA binding [GO:0003723]	GO:0000243; GO:0000387; GO:0003723; GO:0005634; GO:0005682; GO:0005685; GO:0005686; GO:0005687; GO:0005689; GO:0005730; GO:0005774; GO:0005829; GO:0016607; GO:0034715; GO:0034719; GO:0035194; GO:0071013	reviewed	Arabidopsis thaliana (Mouse-ear cress)
TRINITY_DN276022_c0_g1	21.96272079	7.345891257	175.1939726	2.16E-10	7.04E-09	Q54EW1	TRINITY_DN276022_c0_g1_i1	1.30E-89	Serine hydroxymethyltransferase 2 (SHMT 2) (EC 2.1.2.1) (Glycine hydroxymethyltransferase 2) (Serine methylase 2)	cellular response to tetrahydrofolate [GO:1904482]; folic acid metabolic process [GO:0046655]; glycine biosynthetic process from serine [GO:0019264]; glycine metabolic process [GO:0006544]; L-serine catabolic process [GO:0006565]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate interconversion [GO:0035999]; tetrahydrofolate metabolic process [GO:0046653]	mitochondrial matrix [GO:0005759]	amino acid binding [GO:0016597]; cobalt ion binding [GO:0050897]; glycine hydroxymethyltransferase activity [GO:0004372]; pyridoxal phosphate binding [GO:0030170]; serine binding [GO:0070905]; zinc ion binding [GO:0008270]	GO:0004372; GO:0005759; GO:0006544; GO:0006565; GO:0006730; GO:0008270; GO:0016597; GO:0019264; GO:0030170; GO:0035999; GO:0046653; GO:0046655; GO:0050897; GO:0070905; GO:1904482	reviewed	Dictyostelium discoideum (Slime mold)
TRINITY_DN276025_c0_g1	21.38005103	9.218821072	282.7405094	1.99E-14	2.46E-12	O18404	TRINITY_DN276025_c0_g1_i1	1.20E-52	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-hydroxysteroid dehydrogenase 10) (17-beta-HSD 10) (EC 1.1.1.51) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase) (EC 1.1.1.178) (3-hydroxyacyl-CoA dehydrogenase type II) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Scully protein) (Type II HADH)	"acyl-CoA metabolic process [GO:0006637]; androgen metabolic process [GO:0008209]; ecdysone metabolic process [GO:0008205]; estrogen metabolic process [GO:0008210]; fatty acid metabolic process [GO:0006631]; mitochondrial tRNA processing [GO:0090646]; RNA phosphodiester bond hydrolysis, endonucleolytic [GO:0090502]; steroid metabolic process [GO:0008202]"	cytosol [GO:0005829]; mitochondrial ribonuclease P complex [GO:0030678]; mitochondrion [GO:0005739]	3-hydroxy-2-methylbutyryl-CoA dehydrogenase activity [GO:0047015]; 3-hydroxyacyl-CoA dehydrogenase activity [GO:0003857]; 7-beta-hydroxysteroid dehydrogenase (NADP+) activity [GO:0047022]; acetoacetyl-CoA reductase activity [GO:0018454]; dihydrotestosterone 17-beta-dehydrogenase activity [GO:0035410]; estradiol 17-beta-dehydrogenase activity [GO:0004303]; steroid dehydrogenase activity [GO:0016229]; testosterone dehydrogenase (NAD+) activity [GO:0047035]; testosterone dehydrogenase [NAD(P)] activity [GO:0030283]	GO:0003857; GO:0004303; GO:0005739; GO:0005829; GO:0006631; GO:0006637; GO:0008202; GO:0008205; GO:0008209; GO:0008210; GO:0016229; GO:0018454; GO:0030283; GO:0030678; GO:0035410; GO:0047015; GO:0047022; GO:0047035; GO:0090502; GO:0090646	reviewed	Drosophila melanogaster (Fruit fly)
TRINITY_DN276063_c0_g1	22.3439653	8.917973488	223.2313491	2.43E-13	1.56E-11	Q5ZMQ9	TRINITY_DN276063_c0_g1_i1	1.30E-13	Peroxisomal targeting signal 1 receptor (PTS1 receptor) (PTS1R) (PTS1-BP) (Peroxin-5) (Peroxisomal C-terminal targeting signal import receptor) (Peroxisome receptor 1)	"protein import into peroxisome matrix, docking [GO:0016560]"	cytosol [GO:0005829]; peroxisomal membrane [GO:0005778]	peroxisome matrix targeting signal-1 binding [GO:0005052]	GO:0005052; GO:0005778; GO:0005829; GO:0016560	reviewed	Gallus gallus (Chicken)
TRINITY_DN276081_c0_g1	7.137149536	1.440265108	10.36364629	0.005024979	0.032000636	Q47UW0	TRINITY_DN276081_c0_g1_i1	5.40E-86	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	"transcription, DNA-templated [GO:0006351]"		DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]	GO:0003677; GO:0003899; GO:0006351	reviewed	Colwellia psychrerythraea (strain 34H / ATCC BAA-681) (Vibrio psychroerythus)
TRINITY_DN276081_c0_g2	8.196833591	1.776369992	10.3667825	0.005019708	0.032000636	Q47UW0	TRINITY_DN276081_c0_g2_i1	4.30E-107	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	"transcription, DNA-templated [GO:0006351]"		DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]	GO:0003677; GO:0003899; GO:0006351	reviewed	Colwellia psychrerythraea (strain 34H / ATCC BAA-681) (Vibrio psychroerythus)
TRINITY_DN276264_c0_g1	22.48058958	10.38127723	275.4913751	2.62E-14	2.71E-12	Q5XHZ0	TRINITY_DN276264_c0_g1_i1	2.60E-119	"Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)"	negative regulation of cellular respiration [GO:1901856]; negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide [GO:1903751]; protein folding [GO:0006457]; translational attenuation [GO:0009386]	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]	ATP binding [GO:0005524]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]	GO:0003723; GO:0005524; GO:0005654; GO:0005739; GO:0005743; GO:0005758; GO:0005759; GO:0006457; GO:0009386; GO:0019901; GO:0051082; GO:1901856; GO:1903751	reviewed	Rattus norvegicus (Rat)
TRINITY_DN276264_c0_g3	21.59371566	11.32907519	357.0112763	1.61E-15	8.15E-13	P0CH36	TRINITY_DN276264_c0_g3_i1	1.70E-84	NADP-dependent alcohol dehydrogenase C 1 (Ms-ADHC 1) (EC 1.1.1.2)			alcohol dehydrogenase (NADP+) activity [GO:0008106]; zinc ion binding [GO:0008270]	GO:0008106; GO:0008270	reviewed	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)
TRINITY_DN276293_c0_g1	-11.91648487	2.699058116	19.46875112	0.000334878	0.003443645	P09444	TRINITY_DN276293_c0_g1_i1	1.80E-67	Late embryogenesis abundant protein D-34 (LEA D-34)					reviewed	Gossypium hirsutum (Upland cotton) (Gossypium mexicanum)
TRINITY_DN276293_c0_g2	-4.411171616	6.676881006	11.4022907	0.002597536	0.019418777	Q9LJ97	TRINITY_DN276293_c0_g2_i1	1.00E-21	Late embryogenesis abundant protein 31 (LEA 31) (Protein RESPONSIVE TO ABSCISIC ACID 28) (AtRAB28)	cellular ion homeostasis [GO:0006873]; response to lithium ion [GO:0010226]; seed germination [GO:0009845]	cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleus [GO:0005634]		GO:0005634; GO:0005730; GO:0005829; GO:0006873; GO:0009845; GO:0010226	reviewed	Arabidopsis thaliana (Mouse-ear cress)
TRINITY_DN276409_c0_g1	12.69571397	3.107917915	14.67591352	0.001334043	0.011099094	P00125	TRINITY_DN276409_c0_g1_i1	1.00E-74	"Cytochrome c1, heme protein, mitochondrial (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)"	"mitochondrial ATP synthesis coupled proton transport [GO:0042776]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]"	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex III [GO:0005750]; mitochondrion [GO:0005739]	"electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity [GO:0045153]; heme binding [GO:0020037]; metal ion binding [GO:0046872]"	GO:0005739; GO:0005743; GO:0005750; GO:0006122; GO:0016021; GO:0020037; GO:0042776; GO:0045153; GO:0046872	reviewed	Bos taurus (Bovine)
TRINITY_DN276418_c0_g1	10.26956814	2.372628237	14.0133849	0.001613302	0.01296927	Q3IJK2	TRINITY_DN276418_c0_g1_i1	2.50E-86	30S ribosomal protein S5	translation [GO:0006412]	small ribosomal subunit [GO:0015935]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0006412; GO:0015935; GO:0019843	reviewed	Pseudoalteromonas haloplanktis (strain TAC 125)
TRINITY_DN276445_c0_g1	-13.0539129	3.39476385	24.095659	0.00011261	0.001361435	Q9M8M3	TRINITY_DN276445_c0_g1_i1	5.00E-85	"Pentatricopeptide repeat-containing protein At1g80550, mitochondrial"		mitochondrion [GO:0005739]		GO:0005739	reviewed	Arabidopsis thaliana (Mouse-ear cress)
TRINITY_DN276539_c0_g1	3.688570525	8.908401116	20.89987758	0.000134977	0.001600592	Q9SPK4	TRINITY_DN276539_c0_g1_i1	6.10E-66	Phosphoenolpyruvate carboxylase kinase 1 (AtPPCK1) (EC 2.7.11.1)	abscisic acid-activated signaling pathway [GO:0009738]; intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; protein autophosphorylation [GO:0046777]; response to cycloheximide [GO:0046898]; response to light stimulus [GO:0009416]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	ATP binding [GO:0005524]; calcium-dependent protein serine/threonine kinase activity [GO:0009931]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0004683; GO:0005516; GO:0005524; GO:0005634; GO:0005737; GO:0009416; GO:0009738; GO:0009931; GO:0018105; GO:0035556; GO:0046777; GO:0046898	reviewed	Arabidopsis thaliana (Mouse-ear cress)
TRINITY_DN276554_c0_g1	17.01164859	4.634943888	55.33423076	9.57E-07	1.73E-05	F4JRF4	TRINITY_DN276554_c0_g1_i1	2.10E-60	Adenine DNA glycosylase (EC 3.2.2.31) (MutY homolog) (AtMYH)	base-excision repair [GO:0006284]; DNA repair [GO:0006281]; mismatch repair [GO:0006298]	nucleus [GO:0005634]	"4 iron, 4 sulfur cluster binding [GO:0051539]; 8-oxo-7,8-dihydroguanine DNA N-glycosylase activity [GO:0034039]; adenine/guanine mispair binding [GO:0035485]; metal ion binding [GO:0046872]; oxidized purine DNA binding [GO:0032357]; purine-specific mismatch base pair DNA N-glycosylase activity [GO:0000701]"	GO:0000701; GO:0005634; GO:0006281; GO:0006284; GO:0006298; GO:0032357; GO:0034039; GO:0035485; GO:0046872; GO:0051539	reviewed	Arabidopsis thaliana (Mouse-ear cress)
TRINITY_DN276572_c0_g1	-9.174746092	2.01631103	8.987571511	0.00770914	0.0455143	Q6PDQ2	TRINITY_DN276572_c0_g1_i1	1.70E-11	Chromodomain-helicase-DNA-binding protein 4 (CHD-4) (EC 3.6.4.12)	chromatin organization [GO:0006325]; negative regulation of transcription by RNA polymerase II [GO:0000122]; terminal button organization [GO:0072553]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; NuRD complex [GO:0016581]; protein-containing complex [GO:0032991]; protein-DNA complex [GO:0032993]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; histone deacetylase binding [GO:0042826]; metal ion binding [GO:0046872]; RNA polymerase II repressing transcription factor binding [GO:0001103]; transcription factor binding [GO:0008134]	GO:0000122; GO:0001103; GO:0003677; GO:0004386; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0006325; GO:0008134; GO:0016581; GO:0032991; GO:0032993; GO:0042826; GO:0046872; GO:0072553	reviewed	Mus musculus (Mouse)
TRINITY_DN276582_c0_g1	7.870536733	3.116623101	9.992297839	0.00436111	0.028902862	Q963B7	TRINITY_DN276582_c0_g1_i1	1.40E-55	60S ribosomal protein L9	translation [GO:0006412]	ribosome [GO:0005840]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005840; GO:0006412; GO:0019843	reviewed	Spodoptera frugiperda (Fall armyworm)
TRINITY_DN276586_c0_g1	-6.871670147	8.180299797	38.69853735	2.38E-06	4.14E-05	Q8GUI4	TRINITY_DN276586_c0_g1_i1	2.80E-78	Uncharacterized GPI-anchored protein At1g61900		anchored component of membrane [GO:0031225]; anchored component of plasma membrane [GO:0046658]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]		GO:0005886; GO:0009506; GO:0031225; GO:0046658	reviewed	Arabidopsis thaliana (Mouse-ear cress)
TRINITY_DN276607_c0_g1	20.41660068	6.838034023	130.1783616	3.24E-10	9.72E-09	Q08DH3	TRINITY_DN276607_c0_g1_i1	7.30E-31	Probable tRNA methyltransferase 9B (Probable tRNA methyltransferase 9-like protein) (EC 2.1.1.-)	tRNA wobble uridine modification [GO:0002098]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; tRNA (uracil) methyltransferase activity [GO:0016300]; tRNA binding [GO:0000049]	GO:0000049; GO:0002098; GO:0005634; GO:0005737; GO:0016300; GO:0016706	reviewed	Bos taurus (Bovine)
TRINITY_DN276631_c0_g2	21.88878601	7.659341352	197.8806732	7.63E-12	2.95E-10	P97501	TRINITY_DN276631_c0_g2_i1	8.40E-49	Dimethylaniline monooxygenase [N-oxide-forming] 3 (EC 1.14.13.8) (EC 1.14.14.73) (Dimethylaniline oxidase 3) (Hepatic flavin-containing monooxygenase 3) (FMO 3) (Trimethylamine monooxygenase) (EC 1.14.13.148)	drug metabolic process [GO:0017144]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]	"amino acid binding [GO:0016597]; flavin adenine dinucleotide binding [GO:0050660]; monooxygenase activity [GO:0004497]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]; trimethylamine monooxygenase activity [GO:0034899]"	GO:0004497; GO:0004499; GO:0005789; GO:0016021; GO:0016597; GO:0017144; GO:0034899; GO:0043231; GO:0050660; GO:0050661	reviewed	Mus musculus (Mouse)
TRINITY_DN276843_c0_g1	-2.912007199	11.0482724	11.79403068	0.00225935	0.017351582	P26360	TRINITY_DN276843_c0_g1_i1	6.30E-29	"ATP synthase subunit gamma, mitochondrial (F-ATPase gamma subunit)"	ATP synthesis coupled proton transport [GO:0015986]	"mitochondrial inner membrane [GO:0005743]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]"	"proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]"	GO:0005743; GO:0015986; GO:0045261; GO:0046933	reviewed	Ipomoea batatas (Sweet potato) (Convolvulus batatas)
TRINITY_DN276910_c0_g1	16.75877733	4.452770775	50.94360417	1.65E-06	2.91E-05	Q0VD24	TRINITY_DN276910_c0_g1_i1	2.40E-27	Histone-lysine N-methyltransferase SETMAR (EC 2.1.1.43) (SET domain and mariner transposase fusion protein homolog)	histone H3-K36 methylation [GO:0010452]; histone H3-K4 methylation [GO:0051568]	chromosome [GO:0005694]; nucleus [GO:0005634]	histone methyltransferase activity (H3-K36 specific) [GO:0046975]; histone methyltransferase activity (H3-K4 specific) [GO:0042800]; zinc ion binding [GO:0008270]	GO:0005634; GO:0005694; GO:0008270; GO:0010452; GO:0042800; GO:0046975; GO:0051568	reviewed	Bos taurus (Bovine)
TRINITY_DN276910_c0_g2	20.36513085	6.913185767	134.0396582	2.51E-10	7.77E-09	Q0VD24	TRINITY_DN276910_c0_g2_i1	1.60E-27	Histone-lysine N-methyltransferase SETMAR (EC 2.1.1.43) (SET domain and mariner transposase fusion protein homolog)	histone H3-K36 methylation [GO:0010452]; histone H3-K4 methylation [GO:0051568]	chromosome [GO:0005694]; nucleus [GO:0005634]	histone methyltransferase activity (H3-K36 specific) [GO:0046975]; histone methyltransferase activity (H3-K4 specific) [GO:0042800]; zinc ion binding [GO:0008270]	GO:0005634; GO:0005694; GO:0008270; GO:0010452; GO:0042800; GO:0046975; GO:0051568	reviewed	Bos taurus (Bovine)
TRINITY_DN276935_c0_g1	8.590737598	3.023346347	14.06620888	0.001041274	0.009052649	P0A356	TRINITY_DN276935_c0_g1_i1	6.60E-17	Cold shock-like protein CspLA (CspL)		cytoplasm [GO:0005737]	DNA binding [GO:0003677]	GO:0003677; GO:0005737	reviewed	Listeria innocua serovar 6a (strain ATCC BAA-680 / CLIP 11262)
TRINITY_DN276943_c0_g1	12.02733259	3.054808469	13.82960066	0.001702004	0.013541652	Q01085	TRINITY_DN276943_c0_g1_i1	4.80E-61	Nucleolysin TIAR (TIA-1-related protein)	apoptotic process [GO:0006915]; defense response [GO:0006952]; fibroblast growth factor receptor signaling pathway [GO:0008543]; germ cell development [GO:0007281]; positive regulation of cell population proliferation [GO:0008284]; regulation of transcription by RNA polymerase II [GO:0006357]; stem cell division [GO:0017145]	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; lysosome [GO:0005764]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	DNA binding [GO:0003677]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; RNA binding [GO:0003723]	GO:0003677; GO:0003723; GO:0005634; GO:0005654; GO:0005737; GO:0005764; GO:0006357; GO:0006915; GO:0006952; GO:0007281; GO:0008284; GO:0008543; GO:0010494; GO:0017145; GO:0035925	reviewed	Homo sapiens (Human)
TRINITY_DN276974_c0_g1	17.1449858	5.850635774	72.8802247	4.16E-08	9.83E-07	Q9CA40	TRINITY_DN276974_c0_g1_i1	1.00E-07	"Nudix hydrolase 1 (AtNUDT1) (7,8-dihydro-8-oxoguanine-triphosphatase) (8-oxo-dGTP diphosphatase) (8-oxo-dGTPase) (EC 3.6.1.55) (Dihydroneopterin triphosphate diphosphatase) (EC 3.6.1.67) (Dihydroneopterin triphosphate pyrophosphohydrolase) (DHNTP pyrophosphohydrolase) (NADH pyrophosphatase) (EC 3.6.1.22)"	cellular response to DNA damage stimulus [GO:0006974]; dGTP catabolic process [GO:0006203]	cytosol [GO:0005829]	"8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity [GO:0035539]; 8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity [GO:0008413]; dihydroneopterin triphosphate pyrophosphohydrolase activity [GO:0019177]; metal ion binding [GO:0046872]; NAD+ diphosphatase activity [GO:0000210]"	GO:0000210; GO:0005829; GO:0006203; GO:0006974; GO:0008413; GO:0019177; GO:0035539; GO:0046872	reviewed	Arabidopsis thaliana (Mouse-ear cress)
TRINITY_DN276983_c0_g1	-8.393602738	7.977394443	56.27827874	1.26E-07	2.61E-06	F4JVI3	TRINITY_DN276983_c0_g1_i1	8.50E-76	"Transcription termination factor MTERF5, chloroplastic (Mitochondrial transcription termination factor 5) (Protein MTERF DEFECTIVE IN ARABIDOPSIS 1)"	"chloroplast organization [GO:0009658]; developmental process [GO:0032502]; DNA-templated transcription, termination [GO:0006353]; regulation of transcription, DNA-templated [GO:0006355]; response to abscisic acid [GO:0009737]; response to osmotic stress [GO:0006970]; response to salt stress [GO:0009651]"	chloroplast [GO:0009507]	double-stranded DNA binding [GO:0003690]	GO:0003690; GO:0006353; GO:0006355; GO:0006970; GO:0009507; GO:0009651; GO:0009658; GO:0009737; GO:0032502	reviewed	Arabidopsis thaliana (Mouse-ear cress)
TRINITY_DN276992_c0_g1	20.24616147	6.946590398	134.0099718	2.51E-10	7.77E-09	Q9VHS8	TRINITY_DN276992_c0_g1_i1	4.40E-140	Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13)	"chromatin organization [GO:0006325]; exon-exon junction complex assembly [GO:1903040]; mRNA splicing, via spliceosome [GO:0000398]; mRNA transport [GO:0051028]; pole plasm oskar mRNA localization [GO:0045451]; positive regulation of gene expression [GO:0010628]; RNA splicing [GO:0008380]"	catalytic step 2 spliceosome [GO:0071013]; nucleus [GO:0005634]; pole plasm [GO:0045495]; precatalytic spliceosome [GO:0071011]	ATP binding [GO:0005524]; helicase activity [GO:0004386]; RNA binding [GO:0003723]	GO:0000398; GO:0003723; GO:0004386; GO:0005524; GO:0005634; GO:0006325; GO:0008380; GO:0010628; GO:0045451; GO:0045495; GO:0051028; GO:0071011; GO:0071013; GO:1903040	reviewed	Drosophila melanogaster (Fruit fly)
TRINITY_DN277000_c0_g1	-5.664275467	6.97365236	20.5297375	0.000149393	0.001744797	Q94K73	TRINITY_DN277000_c0_g1_i1	1.40E-71	"Phenylalanine--tRNA ligase, chloroplastic/mitochondrial (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase) (PheRS)"	phenylalanyl-tRNA aminoacylation [GO:0006432]	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytoplasm [GO:0005737]; membrane [GO:0016020]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	ATP binding [GO:0005524]; phenylalanine-tRNA ligase activity [GO:0004826]; tRNA binding [GO:0000049]	GO:0000049; GO:0004826; GO:0005524; GO:0005737; GO:0005739; GO:0005759; GO:0006432; GO:0009507; GO:0009570; GO:0016020	reviewed	Arabidopsis thaliana (Mouse-ear cress)
TRINITY_DN277003_c0_g1	-2.622132967	9.366258156	14.89523889	0.000795506	0.007241448	Q8W4A5	TRINITY_DN277003_c0_g1_i1	3.40E-146	"APO protein 2, chloroplastic (Accumulation of photosystem I protein 2) (Protein EMBRYO DEFECTIVE 1629)"		chloroplast [GO:0009507]	RNA binding [GO:0003723]	GO:0003723; GO:0009507	reviewed	Arabidopsis thaliana (Mouse-ear cress)
TRINITY_DN277043_c0_g1	19.15429532	8.451513765	162.686023	6.35E-12	2.49E-10	P40991	TRINITY_DN277043_c0_g1_i1	1.10E-93	25S rRNA (cytosine(2870)-C(5))-methyltransferase (EC 2.1.1.310) (Nucleolar protein 2)	"assembly of large subunit precursor of preribosome [GO:1902626]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; ribosomal large subunit biogenesis [GO:0042273]; rRNA base methylation [GO:0070475]; rRNA methylation [GO:0031167]"	"nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; preribosome, large subunit precursor [GO:0030687]"	RNA binding [GO:0003723]; rRNA (cytosine-C5-)-methyltransferase activity [GO:0009383]	GO:0000463; GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0009383; GO:0030687; GO:0031167; GO:0042273; GO:0070475; GO:1902626	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
