	GeneID	logFC	logCPM	F	PValue	FDR	Accession	Isoform	E-value	ProteinN	GO_BP	GO_CC	GO_MF	GO	Status	Organism
31	TRINITY_DN292353_c0_g1	17.61338288	12.25644817	92.77750616	2.77E-11	1.87E-09	P08842	TRINITY_DN292353_c0_g1_i1	1.10E-84	Steryl-sulfatase (EC 3.1.6.2) (Arylsulfatase C) (ASC) (Estrone sulfatase) (Steroid sulfatase) (Steryl-sulfate sulfohydrolase)	epidermis development [GO:0008544]; female pregnancy [GO:0007565]; glycosphingolipid metabolic process [GO:0006687]; steroid catabolic process [GO:0006706]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; endosome [GO:0005768]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; membrane [GO:0016020]; plasma membrane [GO:0005886]	arylsulfatase activity [GO:0004065]; metal ion binding [GO:0046872]; steryl-sulfatase activity [GO:0004773]; sulfuric ester hydrolase activity [GO:0008484]	GO:0004065; GO:0004773; GO:0005764; GO:0005768; GO:0005783; GO:0005788; GO:0005789; GO:0005794; GO:0005886; GO:0006687; GO:0006706; GO:0007565; GO:0008484; GO:0008544; GO:0016020; GO:0016021; GO:0043231; GO:0046872	reviewed	Homo sapiens (Human)
32	TRINITY_DN292370_c1_g7	-4.908719102	13.12845064	13.54324739	0.000794882	0.013576583	P20825	TRINITY_DN292370_c1_g7_i1	4.20E-16	Retrovirus-related Pol polyprotein from transposon 297 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]	DNA integration [GO:0015074]		aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074	reviewed	Drosophila melanogaster (Fruit fly)
33	TRINITY_DN293386_c0_g1	13.39447355	8.177659176	18.62221474	0.000176352	0.003643658	P10567	TRINITY_DN293386_c0_g1_i1	1.50E-53	Paramyosin (Uncoordinated protein 15)	locomotion [GO:0040011]; positive regulation of ovulation [GO:0060279]; positive regulation of sarcomere organization [GO:0060298]; regulation of cytoskeleton organization [GO:0051493]; skeletal muscle myosin thick filament assembly [GO:0030241]	A band [GO:0031672]; microtubule organizing center [GO:0005815]; myosin filament [GO:0032982]	cytoskeletal protein binding [GO:0008092]; motor activity [GO:0003774]; protein kinase binding [GO:0019901]; SH3 domain binding [GO:0017124]	GO:0003774; GO:0005815; GO:0008092; GO:0017124; GO:0019901; GO:0030241; GO:0031672; GO:0032982; GO:0040011; GO:0051493; GO:0060279; GO:0060298	reviewed	Caenorhabditis elegans
34	TRINITY_DN293894_c0_g2	18.76496946	13.89717117	111.8221043	2.47E-12	6.02E-10	Q8TZW4	TRINITY_DN293894_c0_g2_i1	3.50E-19	Lysyl aminopeptidase (EC 3.4.11.15)			aminopeptidase activity [GO:0004177]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]	GO:0004177; GO:0008237; GO:0046872	reviewed	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)
35	TRINITY_DN294657_c0_g1	18.04139991	11.37621452	81.06156336	3.40E-10	1.36E-08	O35587	TRINITY_DN294657_c0_g1_i1	1.80E-09	Transmembrane protein Tmp21 (21 kDa transmembrane-trafficking protein) (Integral membrane protein p23) (p24 family protein delta-1) (p24delta1)	"COPI-coated vesicle budding [GO:0035964]; Golgi organization [GO:0007030]; intracellular protein transport [GO:0006886]; regulated exocytosis [GO:0045055]; regulation of amyloid-beta formation [GO:1902003]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]"	COPI-coated vesicle [GO:0030137]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; endoplasmic reticulum membrane [GO:0005789]; gamma-secretase complex [GO:0070765]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; melanosome [GO:0042470]; plasma membrane [GO:0005886]; trans-Golgi network transport vesicle [GO:0030140]; transport vesicle membrane [GO:0030658]; zymogen granule membrane [GO:0042589]	syntaxin binding [GO:0019905]	GO:0000139; GO:0005789; GO:0005886; GO:0006886; GO:0006890; GO:0007030; GO:0016021; GO:0019905; GO:0030137; GO:0030140; GO:0030658; GO:0033116; GO:0035964; GO:0042470; GO:0042589; GO:0045055; GO:0070765; GO:1902003	reviewed	Mesocricetus auratus (Golden hamster)
36	TRINITY_DN294754_c0_g1	16.62959835	14.79364867	70.34824975	8.04E-10	3.03E-08	Q8R151	TRINITY_DN294754_c0_g1_i2	5.40E-07	NFX1-type zinc finger-containing protein 1	chromatin silencing at centromere [GO:0030702]; chromatin silencing by small RNA [GO:0031048]	"chromosome, centromeric region [GO:0000775]; nuclear RNA-directed RNA polymerase complex [GO:0031380]; nucleus [GO:0005634]"	DNA-binding transcription factor activity [GO:0003700]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]	GO:0000775; GO:0003700; GO:0003723; GO:0005634; GO:0008270; GO:0030702; GO:0031048; GO:0031380	reviewed	Mus musculus (Mouse)
37	TRINITY_DN294773_c0_g2	19.48342366	14.07990938	112.5191415	2.28E-12	6.02E-10	Q8NBK3	TRINITY_DN294773_c0_g2_i1	9.90E-68	Formylglycine-generating enzyme (FGE) (EC 1.8.3.7) (C-alpha-formylglycine-generating enzyme 1) (Sulfatase-modifying factor 1)	glycosphingolipid metabolic process [GO:0006687]; post-translational protein modification [GO:0043687]; protein oxidation [GO:0018158]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]	cupric ion binding [GO:1903135]; Formylglycine-generating oxidase activity [GO:0120147]; oxidoreductase activity [GO:0016491]; protein homodimerization activity [GO:0042803]	GO:0005783; GO:0005788; GO:0006687; GO:0016491; GO:0018158; GO:0042803; GO:0043687; GO:0120147; GO:1903135	reviewed	Homo sapiens (Human)
38	TRINITY_DN294773_c0_g3	19.96223054	11.05981635	85.29101587	4.92E-10	1.91E-08	Q8NBK3	TRINITY_DN294773_c0_g3_i1	1.70E-67	Formylglycine-generating enzyme (FGE) (EC 1.8.3.7) (C-alpha-formylglycine-generating enzyme 1) (Sulfatase-modifying factor 1)	glycosphingolipid metabolic process [GO:0006687]; post-translational protein modification [GO:0043687]; protein oxidation [GO:0018158]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]	cupric ion binding [GO:1903135]; Formylglycine-generating oxidase activity [GO:0120147]; oxidoreductase activity [GO:0016491]; protein homodimerization activity [GO:0042803]	GO:0005783; GO:0005788; GO:0006687; GO:0016491; GO:0018158; GO:0042803; GO:0043687; GO:0120147; GO:1903135	reviewed	Homo sapiens (Human)
39	TRINITY_DN294779_c0_g2	-7.295119629	15.01902166	27.1251209	9.02E-06	0.000206343	P35133	TRINITY_DN294779_c0_g2_i1	7.10E-06	Ubiquitin-conjugating enzyme E2 10 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 10) (Ubiquitin carrier protein 10/12) (Ubiquitin-conjugating enzyme E2-17 kDa 10/12) (Ubiquitin-protein ligase 10/12)	ubiquitin-dependent protein catabolic process [GO:0006511]		ATP binding [GO:0005524]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]	GO:0004842; GO:0005524; GO:0006511; GO:0031625; GO:0061631	reviewed	Arabidopsis thaliana (Mouse-ear cress)
40	TRINITY_DN294779_c1_g3	-4.686734484	14.71783809	13.09074107	0.000945333	0.015726909	Q9ZT94	TRINITY_DN294779_c1_g3_i1	2.10E-28	Retrovirus-related Pol polyprotein from transposon RE2 (Retro element 2) (AtRE2) [Includes: Protease RE2 (EC 3.4.23.-); Reverse transcriptase RE2 (EC 2.7.7.49); Endonuclease RE2]	DNA integration [GO:0015074]; DNA recombination [GO:0006310]	retrotransposon nucleocapsid [GO:0000943]	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0000943; GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0006310; GO:0015074; GO:0046872	reviewed	Arabidopsis thaliana (Mouse-ear cress)
41	TRINITY_DN295087_c0_g1	10.70477614	7.260304574	11.08269536	0.002430577	0.033479234	P27484	TRINITY_DN295087_c0_g1_i3	7.00E-07	Glycine-rich protein 2			RNA binding [GO:0003723]; zinc ion binding [GO:0008270]	GO:0003723; GO:0008270	reviewed	Nicotiana sylvestris (Wood tobacco) (South American tobacco)
42	TRINITY_DN295214_c0_g1	9.509699656	10.30032912	12.86022244	0.001033399	0.016547294	P29830	TRINITY_DN295214_c0_g1_i4	1.30E-08	17.6 kDa class II heat shock protein (17.6 kDa heat shock protein) (AtHsp17.6)	protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to high light intensity [GO:0009644]; response to hydrogen peroxide [GO:0042542]; response to reactive oxygen species [GO:0000302]; response to salt stress [GO:0009651]	cytoplasm [GO:0005737]	protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]	GO:0000302; GO:0005737; GO:0006457; GO:0009408; GO:0009644; GO:0009651; GO:0042542; GO:0043621; GO:0051082; GO:0051259	reviewed	Arabidopsis thaliana (Mouse-ear cress)
43	TRINITY_DN295214_c0_g2	9.504195497	7.581097991	11.85305423	0.001656576	0.024391652	P29830	TRINITY_DN295214_c0_g2_i3	1.70E-08	17.6 kDa class II heat shock protein (17.6 kDa heat shock protein) (AtHsp17.6)	protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to high light intensity [GO:0009644]; response to hydrogen peroxide [GO:0042542]; response to reactive oxygen species [GO:0000302]; response to salt stress [GO:0009651]	cytoplasm [GO:0005737]	protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]	GO:0000302; GO:0005737; GO:0006457; GO:0009408; GO:0009644; GO:0009651; GO:0042542; GO:0043621; GO:0051082; GO:0051259	reviewed	Arabidopsis thaliana (Mouse-ear cress)
44	TRINITY_DN295219_c1_g1	21.01153249	12.2939367	117.876732	3.87E-12	6.02E-10	O26884	TRINITY_DN295219_c1_g1_i2	8.80E-43	Uncharacterized protein MTH_793			"transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]"	GO:0016747	reviewed	Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum)
45	TRINITY_DN295224_c1_g1	17.63046013	12.03698844	89.99414632	4.07E-11	2.38E-09	Q1ZXD6	TRINITY_DN295224_c1_g1_i1	8.00E-15	Probable serine/threonine-protein kinase roco5 (EC 2.7.11.1) (Ras of complex proteins and C-terminal of roc 5)	regulation of Rho protein signal transduction [GO:0035023]; sorocarp development [GO:0030587]		ATP binding [GO:0005524]; GTP binding [GO:0005525]; protein serine/threonine kinase activity [GO:0004674]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]	GO:0004674; GO:0005089; GO:0005524; GO:0005525; GO:0030587; GO:0035023	reviewed	Dictyostelium discoideum (Slime mold)
46	TRINITY_DN295269_c0_g2	13.3983429	8.204183052	29.20205631	8.92E-06	0.000206343	Q5JJY4	TRINITY_DN295269_c0_g2_i1	2.40E-08	Protein kinase and PP2C-like domain-containing protein [Includes: Probable serine/threonine-protein kinase Os01g0541900 (EC 2.7.11.1); Probable protein phosphatase 2C 4 (OsPP2C04) (EC 3.1.3.16)]			ATP binding [GO:0005524]; magnesium-dependent protein serine/threonine phosphatase activity [GO:0004724]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine phosphatase activity [GO:0004722]	GO:0004674; GO:0004722; GO:0004724; GO:0005524; GO:0046872	reviewed	Oryza sativa subsp. japonica (Rice)
47	TRINITY_DN296218_c0_g2	-5.287651501	10.7817801	11.62893705	0.001678225	0.024429616	Q9ZT94	TRINITY_DN296218_c0_g2_i5	2.30E-10	Retrovirus-related Pol polyprotein from transposon RE2 (Retro element 2) (AtRE2) [Includes: Protease RE2 (EC 3.4.23.-); Reverse transcriptase RE2 (EC 2.7.7.49); Endonuclease RE2]	DNA integration [GO:0015074]; DNA recombination [GO:0006310]	retrotransposon nucleocapsid [GO:0000943]	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0000943; GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0006310; GO:0015074; GO:0046872	reviewed	Arabidopsis thaliana (Mouse-ear cress)
48	TRINITY_DN296373_c0_g2	12.20310245	7.746708158	20.62725105	9.50E-05	0.001995984	O88379	TRINITY_DN296373_c0_g2_i1	5.10E-06	Bromodomain adjacent to zinc finger domain protein 1A (Cbp146)	chromatin remodeling [GO:0006338]; DNA-dependent DNA replication [GO:0006261]	CHRAC [GO:0008623]; nuclear chromosome [GO:0000228]	metal ion binding [GO:0046872]	GO:0000228; GO:0006261; GO:0006338; GO:0008623; GO:0046872	reviewed	Mus musculus (Mouse)
49	TRINITY_DN296708_c0_g1	21.68291002	14.66491937	140.7743929	1.09E-13	1.40E-10	Q54CI5	TRINITY_DN296708_c0_g1_i1	2.10E-13	DPH4 homolog (DnaJ homolog subfamily C member 24)	peptidyl-diphthamide biosynthetic process from peptidyl-histidine [GO:0017183]; tRNA wobble uridine modification [GO:0002098]	cytosol [GO:0005829]; nucleus [GO:0005634]	metal ion binding [GO:0046872]	GO:0002098; GO:0005634; GO:0005829; GO:0017183; GO:0046872	reviewed	Dictyostelium discoideum (Slime mold)
50	TRINITY_DN296759_c4_g1	10.18549877	8.505905311	15.93328005	0.000328193	0.006005931	P02556	TRINITY_DN296759_c4_g1_i1	7.60E-08	Tubulin beta chain (Beta-tubulin) (Fragment)	microtubule-based process [GO:0007017]	cytoplasm [GO:0005737]; microtubule [GO:0005874]	GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]	GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017	reviewed	Lytechinus pictus (Painted sea urchin)
51	TRINITY_DN298167_c1_g1	-6.416088008	14.40118937	20.59162575	6.67E-05	0.001423701	Q94HW2	TRINITY_DN298167_c1_g1_i6	8.50E-06	Retrovirus-related Pol polyprotein from transposon RE1 (Retro element 1) (AtRE1) [Includes: Protease RE1 (EC 3.4.23.-); Reverse transcriptase RE1 (EC 2.7.7.49); Endonuclease RE1]	DNA integration [GO:0015074]; DNA recombination [GO:0006310]	retrotransposon nucleocapsid [GO:0000943]	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0000943; GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0006310; GO:0015074; GO:0046872	reviewed	Arabidopsis thaliana (Mouse-ear cress)
52	TRINITY_DN298834_c0_g6	11.02570006	7.581639882	17.02635536	0.000294612	0.005469542	P78970	TRINITY_DN298834_c0_g6_i1	2.50E-13	Sphingosine N-acyltransferase lag1 (EC 2.3.1.24) (Longevity assurance factor 1) (Longevity assurance protein 1)	ceramide biosynthetic process [GO:0046513]; vacuolar acidification [GO:0007035]	endoplasmic reticulum [GO:0005783]; integral component of endoplasmic reticulum membrane [GO:0030176]	sphingosine N-acyltransferase activity [GO:0050291]	GO:0005783; GO:0007035; GO:0030176; GO:0046513; GO:0050291	reviewed	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
53	TRINITY_DN299755_c1_g3	15.21328196	8.894815231	34.98811912	2.21E-06	5.91E-05	P34221	TRINITY_DN299755_c1_g3_i4	1.30E-17	Protein phosphatase 2C homolog 3 (PP2C-3) (EC 3.1.3.16)	cellular response to osmotic stress [GO:0071470]; inactivation of MAPK activity [GO:0000188]; negative regulation of stress-activated MAPK cascade [GO:0032873]; protein dephosphorylation [GO:0006470]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	magnesium-dependent protein serine/threonine phosphatase activity [GO:0004724]; MAP kinase serine/threonine phosphatase activity [GO:1990439]; metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]	GO:0000079; GO:0000188; GO:0004722; GO:0004724; GO:0005634; GO:0005737; GO:0006470; GO:0032873; GO:0046872; GO:0071470; GO:1990439	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
54	TRINITY_DN299789_c0_g2	18.66962268	12.73087676	82.36110774	2.84E-10	1.21E-08	Q55E58	TRINITY_DN299789_c0_g2_i1	4.60E-20	Probable serine/threonine-protein kinase pats1 (EC 2.7.11.1) (Protein associated with the transduction of signal 1)	cheating during chimeric sorocarp development [GO:0099139]; mitotic cytokinesis [GO:0000281]; protein dephosphorylation [GO:0006470]	actomyosin [GO:0042641]	ATP binding [GO:0005524]; GTP binding [GO:0005525]; phosphoprotein phosphatase activity [GO:0004721]; protein serine/threonine kinase activity [GO:0004674]	GO:0000281; GO:0004674; GO:0004721; GO:0005524; GO:0005525; GO:0006470; GO:0042641; GO:0099139	reviewed	Dictyostelium discoideum (Slime mold)
55	TRINITY_DN310761_c3_g1	-8.54953016	13.15583028	28.65438157	5.84E-06	0.000141095	P93285	TRINITY_DN310761_c3_g1_i4	1.90E-07	Cytochrome c oxidase subunit 2 (EC 1.9.3.1) (Cytochrome c oxidase polypeptide II)		integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	copper ion binding [GO:0005507]; cytochrome-c oxidase activity [GO:0004129]	GO:0004129; GO:0005507; GO:0005743; GO:0016021; GO:0070469	reviewed	Arabidopsis thaliana (Mouse-ear cress)
56	TRINITY_DN310761_c3_g3	-7.856979701	15.13332378	29.28617321	4.89E-06	0.000120539	P93285	TRINITY_DN310761_c3_g3_i3	3.00E-10	Cytochrome c oxidase subunit 2 (EC 1.9.3.1) (Cytochrome c oxidase polypeptide II)		integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	copper ion binding [GO:0005507]; cytochrome-c oxidase activity [GO:0004129]	GO:0004129; GO:0005507; GO:0005743; GO:0016021; GO:0070469	reviewed	Arabidopsis thaliana (Mouse-ear cress)
57	TRINITY_DN310763_c1_g1	9.375239699	6.93898092	10.55254341	0.002987654	0.039455514	Q94HW2	TRINITY_DN310763_c1_g1_i1	1.10E-11	Retrovirus-related Pol polyprotein from transposon RE1 (Retro element 1) (AtRE1) [Includes: Protease RE1 (EC 3.4.23.-); Reverse transcriptase RE1 (EC 2.7.7.49); Endonuclease RE1]	DNA integration [GO:0015074]; DNA recombination [GO:0006310]	retrotransposon nucleocapsid [GO:0000943]	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0000943; GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0006310; GO:0015074; GO:0046872	reviewed	Arabidopsis thaliana (Mouse-ear cress)
58	TRINITY_DN310763_c3_g1	-10.51187197	7.853460209	17.00375381	0.00024408	0.004737366	Q9ZT94	TRINITY_DN310763_c3_g1_i1	3.40E-08	Retrovirus-related Pol polyprotein from transposon RE2 (Retro element 2) (AtRE2) [Includes: Protease RE2 (EC 3.4.23.-); Reverse transcriptase RE2 (EC 2.7.7.49); Endonuclease RE2]	DNA integration [GO:0015074]; DNA recombination [GO:0006310]	retrotransposon nucleocapsid [GO:0000943]	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0000943; GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0006310; GO:0015074; GO:0046872	reviewed	Arabidopsis thaliana (Mouse-ear cress)
59	TRINITY_DN311418_c0_g1	22.38336023	12.25049505	124.1045562	7.41E-12	7.09E-10	C3K732	TRINITY_DN311418_c0_g1_i1	6.20E-24	Thiopurine S-methyltransferase (EC 2.1.1.67) (Thiopurine methyltransferase)	response to metal ion [GO:0010038]	cytoplasm [GO:0005737]	thiopurine S-methyltransferase activity [GO:0008119]	GO:0005737; GO:0008119; GO:0010038	reviewed	Pseudomonas fluorescens (strain SBW25)
60	TRINITY_DN311461_c0_g1	19.65830343	13.96098349	99.11265671	1.19E-11	8.49E-10	O34787	TRINITY_DN311461_c0_g1_i1	5.80E-80	Polyketide biosynthesis protein PksE [Includes: Malonyl CoA-acyl carrier protein transacylase (MCT) (EC 2.3.1.39)]	antibiotic biosynthetic process [GO:0017000]; fatty acid biosynthetic process [GO:0006633]	cytosol [GO:0005829]	[acyl-carrier-protein] S-malonyltransferase activity [GO:0004314]; nitronate monooxygenase activity [GO:0018580]	GO:0004314; GO:0005829; GO:0006633; GO:0017000; GO:0018580	reviewed	Bacillus subtilis (strain 168)
61	TRINITY_DN311484_c1_g5	14.16580307	8.473310482	33.13832524	3.40E-06	8.55E-05	Q52828	TRINITY_DN311484_c1_g5_i1	2.30E-18	Protein GstA			transferase activity [GO:0016740]	GO:0016740	reviewed	Rhizobium leguminosarum
62	TRINITY_DN311486_c4_g1	-7.339634451	11.51295582	21.89026863	4.39E-05	0.000953623	Q94HW2	TRINITY_DN311486_c4_g1_i7	4.20E-10	Retrovirus-related Pol polyprotein from transposon RE1 (Retro element 1) (AtRE1) [Includes: Protease RE1 (EC 3.4.23.-); Reverse transcriptase RE1 (EC 2.7.7.49); Endonuclease RE1]	DNA integration [GO:0015074]; DNA recombination [GO:0006310]	retrotransposon nucleocapsid [GO:0000943]	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0000943; GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0006310; GO:0015074; GO:0046872	reviewed	Arabidopsis thaliana (Mouse-ear cress)
63	TRINITY_DN311489_c3_g5	13.50661112	8.196502905	29.76671118	7.74E-06	0.000183509	Q9H0A6	TRINITY_DN311489_c3_g5_i3	4.50E-15	RING finger protein 32		aggresome [GO:0016235]; endosome [GO:0005768]	metal ion binding [GO:0046872]	GO:0005768; GO:0016235; GO:0046872	reviewed	Homo sapiens (Human)
64	TRINITY_DN311493_c0_g1	11.38031087	9.699307412	14.23156426	0.000612911	0.010755327	P13607	TRINITY_DN311493_c0_g1_i1	6.20E-31	Sodium/potassium-transporting ATPase subunit alpha (Na(+)/K(+) ATPase alpha subunit) (EC 7.2.2.13) (Sodium pump subunit alpha)	"adult locomotory behavior [GO:0008344]; ATP hydrolysis coupled proton transport [GO:0015991]; cation transport [GO:0006812]; cellular potassium ion homeostasis [GO:0030007]; cellular sodium ion homeostasis [GO:0006883]; chemical synaptic transmission [GO:0007268]; determination of adult lifespan [GO:0008340]; jump response [GO:0007630]; locomotory behavior [GO:0007626]; neuromuscular process [GO:0050905]; potassium ion import across plasma membrane [GO:1990573]; regulation of tube diameter, open tracheal system [GO:0035158]; regulation of tube length, open tracheal system [GO:0035159]; response to mechanical stimulus [GO:0009612]; response to temperature stimulus [GO:0009266]; sensory perception of sound [GO:0007605]; septate junction assembly [GO:0019991]; sodium ion export across plasma membrane [GO:0036376]; synaptic growth at neuromuscular junction [GO:0051124]; tissue homeostasis [GO:0001894]; trachea morphogenesis [GO:0060439]"	basolateral plasma membrane [GO:0016323]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; septate junction [GO:0005918]; sodium:potassium-exchanging ATPase complex [GO:0005890]	ATP binding [GO:0005524]; sodium:potassium-exchanging ATPase activity [GO:0005391]	GO:0001894; GO:0005391; GO:0005524; GO:0005634; GO:0005737; GO:0005886; GO:0005890; GO:0005918; GO:0006812; GO:0006883; GO:0007268; GO:0007605; GO:0007626; GO:0007630; GO:0008340; GO:0008344; GO:0009266; GO:0009612; GO:0015991; GO:0016323; GO:0019991; GO:0030007; GO:0035158; GO:0035159; GO:0036376; GO:0050905; GO:0051124; GO:0060439; GO:1990573	reviewed	Drosophila melanogaster (Fruit fly)
65	TRINITY_DN311716_c0_g1	18.04054754	11.37183288	87.84648429	1.35E-10	6.16E-09	Q8K4H1	TRINITY_DN311716_c0_g1_i1	1.40E-07	Kynurenine formamidase (KFA) (KFase) (EC 3.5.1.9) (Arylformamidase) (N-formylkynurenine formamidase) (FKF)	'de novo' NAD biosynthetic process from tryptophan [GO:0034354]; tryptophan catabolic process to kynurenine [GO:0019441]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]	arylformamidase activity [GO:0004061]	GO:0004061; GO:0005634; GO:0005737; GO:0005829; GO:0019441; GO:0034354	reviewed	Mus musculus (Mouse)
66	TRINITY_DN311716_c0_g2	20.77659826	11.47194003	102.5660702	6.51E-11	3.47E-09	Q8N3Y7	TRINITY_DN311716_c0_g2_i1	6.70E-24	Epidermal retinol dehydrogenase 2 (EPHD-2) (RDH-E2) (EC 1.1.1.105) (Retinal short-chain dehydrogenase reductase 2) (retSDR2) (Short-chain dehydrogenase/reductase family 16C member 5)	keratinocyte proliferation [GO:0043616]; negative regulation of histone acetylation [GO:0035067]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of histone deacetylation [GO:0031065]; retinal metabolic process [GO:0042574]; retinol metabolic process [GO:0042572]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; lipid droplet [GO:0005811]; nucleus [GO:0005634]; transcriptional repressor complex [GO:0017053]	activating transcription factor binding [GO:0033613]; retinol dehydrogenase activity [GO:0004745]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]	GO:0000122; GO:0003714; GO:0004745; GO:0005634; GO:0005783; GO:0005789; GO:0005811; GO:0008134; GO:0016021; GO:0017053; GO:0031065; GO:0033613; GO:0035067; GO:0042572; GO:0042574; GO:0043616	reviewed	Homo sapiens (Human)
67	TRINITY_DN311731_c0_g1	13.0577743	8.022670624	26.95866432	1.59E-05	0.00035827	G5EEM5	TRINITY_DN311731_c0_g1_i1	6.60E-07	Zygote defective protein 9	cell division [GO:0051301]; centrosome duplication [GO:0051298]; embryo development ending in birth or egg hatching [GO:0009792]; establishment or maintenance of microtubule cytoskeleton polarity [GO:0030951]; meiotic spindle organization [GO:0000212]; microtubule-based process [GO:0007017]; microtubule polymerization [GO:0046785]; spindle elongation [GO:0051231]; spindle organization [GO:0007051]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; kinetochore [GO:0000776]; meiotic spindle [GO:0072687]; microtubule [GO:0005874]; spindle pole [GO:0000922]	microtubule binding [GO:0008017]; microtubule plus-end binding [GO:0051010]	GO:0000212; GO:0000776; GO:0000922; GO:0005737; GO:0005813; GO:0005874; GO:0007017; GO:0007051; GO:0008017; GO:0009792; GO:0030951; GO:0046785; GO:0051010; GO:0051231; GO:0051298; GO:0051301; GO:0072687	reviewed	Caenorhabditis elegans
